NETGEAR,WIFI 1,Basabeso,Ehab,basant,room
-81,-63,-66,-64,-63,1
-71,-64,-66,-72,-64,1
-74,-64,-66,-76,-64,1
-72,-61,-78,-69,-61,1
-78,-63,-68,-76,-63,1
-69,-60,-64,-65,-60,1
-81,-68,-70,-65,-68,1
-73,-63,-65,-73,-63,1
-68,-63,-62,-65,-63,1
-72,-60,-64,-63,-60,1
-64,-72,-68,-69,-72,1
-63,-71,-65,-70,-71,1
-79,-67,-66,-62,-67,1
-70,-76,-70,-62,-76,1
-74,-71,-63,-74,-71,1
-69,-70,-60,-66,-70,1
-77,-66,-66,-70,-66,1
-70,-66,-67,-64,-66,1
-76,-60,-70,-72,-60,1
-80,-61,-69,-70,-61,1
-73,-67,-73,-72,-67,1
-71,-65,-68,-67,-65,1
-72,-68,-68,-74,-68,1
-69,-67,-70,-71,-67,1
-67,-64,-67,-73,-64,1
-81,-72,-71,-70,-72,1
-76,-78,-70,-66,-78,1
-78,-71,-67,-68,-71,1
-79,-69,-79,-69,-69,1
-72,-70,-71,-70,-70,1
-68,-71,-69,-70,-71,1
-69,-61,-66,-61,-61,1
-67,-64,-65,-65,-64,1
0,-59,-66,-58,-59,1
-77,-57,-66,-63,-57,1
-67,-66,-65,-71,-66,1
-64,-67,-64,-64,-67,1
-65,-62,-61,-66,-62,1
-72,-66,-63,-64,-66,1
-65,-64,-65,-66,-64,1
-69,-61,-62,-67,-61,1
-64,-73,-69,-62,-73,1
0,-70,-71,-66,-70,1
-70,-65,-63,-73,-65,1
-77,-61,-69,-72,-61,1
-65,-64,-64,-59,-64,1
-73,-61,-65,-70,-61,1
-69,-65,-67,-65,-65,1
-66,-64,-63,-62,-64,1
-76,-69,-65,-68,-69,1
-69,-61,-61,-60,-61,1
-70,-63,-65,-61,-63,1
-71,-64,-62,-65,-64,1
-66,-64,-69,-60,-64,1
-68,-65,-70,-68,-65,1
-66,-62,-71,-66,-62,1
-76,-60,-68,-58,-60,1
-68,-59,-67,-62,-59,1
-65,-61,-68,-62,-61,1
-71,-61,-66,-65,-61,1
-71,-59,-65,-70,-59,1
-70,-59,-71,-79,-59,1
-70,-71,-78,-72,-71,1
-67,-64,-71,-68,-64,1
-72,-70,-72,-70,-70,1
-71,-63,-64,-58,-63,1
-75,-64,-68,-65,-64,1
-81,-68,-66,-67,-68,1
-73,-63,-63,-65,-63,1
-70,-60,-64,-66,-60,1
-67,-62,-69,-50,-62,1
-67,-62,-70,-56,-62,1
-70,-62,-69,-55,-62,1
-68,-69,-66,-71,-69,1
-64,-64,-67,-70,-64,1
-79,-61,-62,-72,-61,1
-67,-64,-66,-67,-64,1
-64,-59,-74,-72,-59,1
-63,-60,-71,-74,-60,1
-71,-70,-63,-72,-70,1
-78,-64,-65,-70,-64,1
-68,-63,-69,-70,-63,1
-66,-63,-74,-75,-63,1
-69,-66,-71,-82,-66,1
-70,-58,-68,-75,-58,1
-72,-56,-70,-71,-56,1
-72,-61,-67,-73,-61,1
-69,-60,-69,-76,-60,1
-68,-60,-68,-69,-60,1
-71,-60,-69,-76,-60,1
-66,-63,-69,-69,-63,1
-62,-65,-69,-66,-65,1
-69,-59,-67,-66,-59,1
-76,-67,-68,-79,-67,1
-69,-64,-68,-65,-64,1
-73,-59,-64,-63,-59,1
-71,-65,-69,-66,-65,1
-71,-56,-77,-63,-56,1
-74,-58,-67,-65,-58,1
-64,-33,-69,-74,-33,1
-72,-26,-60,-68,-26,1
-64,-48,-74,-71,-48,1
-70,-31,-75,-76,-31,1
-83,-66,-65,-79,-66,1
-63,-38,-66,-72,-38,1
-67,-32,-70,-72,-32,1
-68,-53,-76,-71,-53,1
-82,-42,-68,-65,-42,1
-74,-45,-76,-70,-45,1
-68,-55,-70,-74,-55,1
-70,-45,-79,-73,-45,1
-75,-53,-69,-71,-53,1
-82,-56,-68,-75,-56,1
-74,-60,-73,-76,-60,1
-74,-54,-67,-62,-54,1
-70,-53,-70,-63,-53,1
-69,-63,-67,-62,-63,1
-66,-61,-66,-71,-61,1
-63,-43,-64,-66,-43,1
-64,-62,-71,-57,-62,1
